time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-03-03,42474.37,-1461.0,41248.422153485146,40925.399810827934,2833.71,-115.32000000000016,2819.7184237979554,2840.136102621763,1.0,-0.0009999999999998899,1.0005481954087516,1.0006088338502814,402.77,-6.550000000000011,391.05194046982183,395.09033150924773,1.0,0.0,0.9999617103294081,1.000000789206036
2022-03-04,39154.4,-3319.970000000001,40926.26489910282,40794.214639655496,2622.51,-211.19999999999982,2789.3786662905777,2824.0156505757063,1.0,0.0,1.0004638576535592,1.0005637350465568,374.15,-28.620000000000005,388.45164193600306,393.53919584189606,1.0,0.0,0.9999676010479607,1.0000007307463297
2022-03-05,39407.02,252.61999999999534,40692.53491462546,40691.4594811625,2666.18,43.66999999999962,2770.4250253227965,2812.324120903432,1.0,0.0,1.000392494937627,1.00052197689496,384.81,10.660000000000025,387.8913893304641,392.89258874249634,1.0,0.0,0.9999725855021205,1.000000676616972
2022-03-06,38428.92,-978.0999999999985,40344.28646622154,40523.86396403935,2552.58,-113.59999999999991,2736.910406042366,2793.0838156513255,1.001,0.0009999999999998899,1.0004859572549152,1.000557386013852,374.84,-9.970000000000027,385.8834832796235,391.55535994675586,1.001,0.0009999999999998899,1.0001306492710251,1.0000747005712705
2022-03-07,38030.63,-398.2900000000009,39988.33931757208,40339.1799667031,2496.67,-55.909999999999854,2699.95034357431,2771.12723671419,1.0,-0.0009999999999998899,1.000411194600313,1.000516098160974,380.84,6.0,385.107562775066,390.7616295803295,0.9995,-0.0014999999999998348,1.0000336263062521,1.0000321301585837
2022-03-08,38748.52,717.8899999999994,39797.59788409945,40221.353302502874,2579.18,82.50999999999976,2681.370290716724,2756.908922883509,1.0,0.0,1.0003479338925725,1.0004778686675686,381.48,0.6400000000000432,384.5494761942866,390.07410146326805,1.0,0.0004999999999999449,1.0000284530283672,1.0000297501468367
2022-03-09,41962.85,3214.3300000000017,40130.713594238,40350.35305787303,2733.05,153.87000000000035,2689.3210152218435,2755.1415952625084,1.0,0.0,1.0002944056014076,1.0004424709884894,393.4,11.919999999999959,385.91109524131946,390.3204643178408,1.0,0.0,1.0000240756393877,1.000027546432256
2022-03-10,39443.42,-2519.4300000000003,40024.97611820138,40283.17283136392,2608.64,-124.41000000000031,2676.90855134156,2744.2896252430633,1.0,0.0,1.0002491124319604,1.0004096953597124,372.27,-21.129999999999995,383.81246520419336,388.9833928868896,1.0,0.0,1.0000203716948666,1.0000255059557928
2022-03-11,38741.03,-702.3899999999994,39827.4459461704,40168.94002904066,2557.57,-51.06999999999971,2658.548774212089,2730.4585418917254,1.0,0.0,1.000210787442428,1.0003793475552891,372.02,-0.25,381.99823978816363,387.72684526563853,0.9998,-0.00019999999999997797,0.9999864683571948,1.0000088018109192
2022-03-12,38805.53,64.5,39670.22810829803,40067.94669355617,2569.87,12.299999999999727,2644.9058858717676,2718.56309434419,0.9999,-9.999999999998899e-05,1.0001629739897469,1.0003438403289715,372.46,0.4399999999999977,380.5308182822923,386.5959678385542,1.0,0.00019999999999997797,0.9999885501483956,1.0000081498249251
2022-03-13,37796.31,-1009.2200000000012,39381.93301471372,39899.67730884831,2516.83,-53.039999999999964,2625.2019034299574,2703.6199021705465,1.0,9.999999999998899e-05,1.0001379010682474,1.0003183706749736,361.36,-11.099999999999966,377.5814616234781,384.72663688755017,0.9992,-0.0008000000000000229,0.9998672347409502,0.9999482868749306
2022-03-14,39696.28,1899.9700000000012,39430.29408937315,39884.61084152621,2591.45,74.61999999999989,2620.0093029022714,2695.3110205282837,1.001,0.0009999999999998899,1.0002705316731324,1.0003688617360866,373.49,12.129999999999995,376.95200598909685,383.8942934143983,1.0,0.0008000000000000229,0.9998876601654194,0.9999521174767876
2022-03-15,39314.86,-381.41999999999825,39412.53499870036,39842.40707548724,2619.61,28.16000000000031,2619.9478716865374,2689.7035375261885,1.0,-0.0009999999999998899,1.0002289114157275,1.0003415386445247,371.76,-1.7300000000000182,376.1532358369281,382.9954568651836,1.0,0.0,0.9999049432168934,0.9999556643303589
2022-03-16,41133.64,1818.7799999999988,39677.32038351569,39938.053958784476,2775.15,155.53999999999996,2643.825122196301,2696.032905116841,1.0,0.0,1.0001936942748464,1.000316239485671,385.68,13.920000000000016,377.6188918620161,383.194311912207,1.0,0.0,0.9999195673373713,0.999958948454036
2022-03-17,40956.79,-176.84999999999854,39874.16186297481,40013.5158877634,2814.64,39.48999999999978,2670.1043341661007,2704.818615848927,1.0,0.0,1.0001638951556393,1.0002928143385843,392.14,6.4599999999999795,379.852908498629,383.85695547426576,1.0,0.0,0.9999319415931603,0.9999619893092926
2022-03-18,41790.97,834.1800000000003,40169.05542251715,40145.17915533648,2941.32,126.68000000000029,2711.82982121747,2722.3372368971545,1.001,0.0009999999999998899,1.0002925266701563,1.000345198461652,397.44,5.300000000000011,382.55861488345533,384.8631069206164,0.9998,-0.00019999999999997797,0.9999116428865203,0.9999499901011969
2022-03-19,42235.02,444.04999999999563,40486.89612674528,40299.98218086711,2952.64,11.319999999999709,2748.877541030167,2739.3967008306986,1.001,0.0,1.0004013687209015,1.0003937022793075,400.1,2.660000000000025,385.2572895167699,385.9917656672374,1.0,0.00019999999999997797,0.9999252362885941,0.9999536945381453
2022-03-20,41243.16,-991.8599999999933,40603.244414938315,40369.84720450659,2861.26,-91.37999999999965,2766.167150102449,2748.4236118802764,0.9998,-0.0011999999999998678,1.0003088504561475,1.0003497243326922,390.87,-9.230000000000018,386.1207834372668,386.35311635855317,0.9998,-0.00019999999999997797,0.9999059691672719,0.999942309757542
2022-03-21,41043.9,-199.26000000000204,40671.037581870885,40419.7770412098,2895.01,33.75,2785.9891270097646,2759.2818628521077,1.0,0.00019999999999997797,1.0002613350013556,1.0003238188265668,396.15,5.279999999999973,387.66373983153346,387.07881144310477,1.0,0.00019999999999997797,0.99992043544923,0.9999465831088351
2022-03-22,42380.11,1336.2099999999991,40933.971800044594,40564.98689000908,2970.47,75.45999999999958,2814.370799777493,2774.925428566766,1.0,0.0,1.0002211296165318,1.000299832246821,404.31,8.160000000000025,390.2247029343745,388.35519578065254,1.0,0.0,0.9999326761493484,0.999950539915588
2022-03-23,42904.1,523.989999999998,41237.06844619158,40738.25452778619,3037.3,66.83000000000038,2848.667599811725,2794.360582006265,1.0,0.0,1.0001871096755268,1.0002776224507604,408.6,4.2900000000000205,393.05167171370147,389.8548109080116,0.9997,-0.00029999999999996696,0.9998968798186795,0.9999319814033223
2022-03-24,44006.77,1102.6699999999983,41663.17637754672,40980.36678498721,3112.85,75.54999999999973,2889.3110459945365,2817.9523907465414,1.0,0.0,1.0001583235715996,1.000257057824778,414.39,5.789999999999964,396.3344914500551,391.67223232223296,1.0,0.00029999999999996696,0.9999127444619595,0.999937019817891
2022-03-25,44331.36,324.5900000000038,42073.66616561646,41228.58850461779,3104.04,-8.809999999999945,2922.3462696876845,2839.144065506057,1.001,0.0009999999999998899,1.000287812252892,1.0003120905784981,410.37,-4.019999999999982,398.4938004577389,393.0572521502157,1.0,0.0,0.9999261683908889,0.9999416850165657
2022-03-26,44542.31,210.9499999999971,42453.45752475239,41474.04935612758,3146.36,42.320000000000164,2956.809920504964,2861.900801394497,1.001,0.0,1.000397379598601,1.0003630468319427,416.23,5.860000000000014,401.2224465411637,394.77375199094047,1.0,0.0,0.9999375270999828,0.9999460046449682
2022-03-27,46842.14,2299.8300000000017,43128.63944402125,41871.68570011813,3296.46,150.0999999999999,3009.0637788888157,2894.0903716615717,1.0,-0.0009999999999998899,1.0003362442757393,1.000336154474021,430.8,14.569999999999993,405.7728393809847,397.4423629545745,0.9997,-0.00029999999999996696,0.9999009844692163,0.9999277820786743
